N,Pop_Prob,Off_Prob,Tournament_Size,Value,Run_Gens
500,1.55,1.3250000000000002,8,"(500, -1708)",18
500,1.1,1.775,2,"(500, -1712)",48
500,1.55,1.3250000000000002,2,"(500, -1713)",38
500,1.55,1.55,14,"(500, -1716)",17
500,1.55,1.1,5,"(500, -1727)",22
500,1.775,2.0,8,"(500, -1738)",19
500,1.1,2.0,5,"(500, -1755)",18
500,1.1,1.1,11,"(500, -1769)",20
500,1.1,1.1,5,"(500, -1783)",32
1000,1.3250000000000002,1.3250000000000002,8,"(1000, -3266)",26
1000,1.1,1.55,11,"(1000, -3386)",32
1000,1.55,2.0,5,"(1000, -3486)",26
1000,2.0,1.775,2,"(1000, -3491)",39
1000,1.775,2.0,5,"(1000, -3492)",27
1000,1.55,1.55,5,"(1000, -3504)",27
1000,2.0,2.0,5,"(1000, -3509)",27
1000,1.55,1.3250000000000002,8,"(1000, -3513)",26
1000,2.0,1.3250000000000002,5,"(1000, -3518)",28
1000,1.775,1.55,5,"(1000, -3519)",27
1000,1.775,1.775,8,"(1000, -3543)",23
1000,1.1,1.55,2,"(1000, -3561)",32
1000,2.0,1.3250000000000002,14,"(1000, -3565)",21
1000,1.3250000000000002,1.55,2,"(1000, -3570)",30
1000,1.3250000000000002,1.55,8,"(1000, -3578)",23
1000,1.55,1.1,14,"(1000, -3585)",33
1000,1.1,1.775,8,"(1000, -3591)",22
1000,2.0,1.3250000000000002,8,"(1000, -3595)",22
1000,1.775,1.775,11,"(1000, -3600)",23
1000,2.0,2.0,2,"(1000, -3602)",29
1000,1.55,2.0,14,"(1000, -3610)",20
1000,1.775,1.3250000000000002,14,"(1000, -3618)",19
1000,1.775,2.0,11,"(1000, -3621)",25
1000,1.55,1.775,2,"(1000, -3621)",38
1000,1.775,2.0,8,"(1000, -3628)",23
1000,1.3250000000000002,2.0,14,"(1000, -3633)",20
1000,1.55,1.1,8,"(1000, -3634)",24
1000,1.55,1.55,2,"(1000, -3634)",40
